Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Satan,Unknown,Satan,The Lord of LightPrince of DarknessHis Satanic MajestyMaster of ChaosEvil IncarnateThe DevilLuciferKatie FitzgeraldKate Fitzgerald,,Bad,HellThamuzMammonMalebolgia,"Man of Miracles (mother), God (twin brother)",Male,"8' 9""",2789  lbs (1268 kg),,,,,Todd McFarlane,"Spawn  #158(July, 2006)",2006
Deathtrap,Seamus O'Brienn,Deathtrap,,Secret,Bad,Mercs; formerly Irish Republic Army,,Male,"6' 6""",230  lbs (105 kg),Blue,Red,Widower,,"Brandon Choi,  Jim Lee,  Scott Clark","StormWatch  #1(March, 1993)",1993
Atlas,Sean Welch,Atlas,,Secret,Good,Brigade,,Male,Variable,Variable,Brown,Brown,Single,,,"Brigade  #1(August, 1992)",1992
Sh'rrrnn,Sh'rrrnnn,Sh'rrrnn,Trace O'Donnell (formerly)[1]Magnolia (formerly)[2]Dominique Beaner (formerly)[3]Cannon (formerly)[4]Kincaid (formerly)[5]Weatherman One (formerly)[6]Dennis (formerly)[7],,Good,Shu'rii Empire,,Female,Varies,Varies,Red,Bald,Single,Shu'roch,Marc Silvestri,Codename: Strykeforce  #4,
ShadowHawk,Unknown,ShadowHawk,Robot,,Neutral,,,Genderless,,,,,,Robot,Jim Valentino,Shadowhawk #13,
Swift,Shen Li-Min,Swift,,,,The AuthorityStormwatch Black,,Female,,,,Black,,,"Jeff Mariotte,  Ron Lim","StormWatch  #28(September, 1995)",1995
Sidney,Unknown,Sidney,,,Bad,Hell,,Male,,,,White,,,"Robert Kirkman,  Paul Azaceta","Outcast  #2(July, 2014)",2014
Magdalena,Mariella,Magdalena,Magdalena,Secret,Good,Catholic Church,Sister Rosalia (mother),Female,,,Blue,Brown,Single,,"David Wohl,  Joe Benitez",The Darkness  #15,
Magdalena,Rosalia,Magdalena,Magdalena,Secret,Good,Catholic Church,Sister Mariella (daughter),Female,,,Blue,Brown,Single,,"David Wohl,  Joe Benitez",Magdalena: The Blood Divine #1,
Sonatine,Xolotl,Sonatine,,Public,Bad,Tony Estacado,,Male,,,,,,,"Garth Ennis,  Marc Silvestri","Switch  #1(October, 2015)",2015
Sonatine,Xolotl,Sonatine,,Public,Bad,The Darkness,,Male,,,Orange,Bald,,,"Garth Ennis,  Marc Silvestri","The Darkness  #1(December, 1996)",1996
Slave Girl,Sophie,Slave Girl,,,,,,Female,,,Brown,Brown,,,"Brian K Vaughan,  Fiona Staples","Saga  #4(June, 2012)",2012
Wraith,Spencer Bridges,Wraith,"Vigil, Myriad",Secret,Good,Dynamo 5,"Captain Dynamo (father), Hector Chang, Gage Reinhart (half brothers), Bridget Flynn, Olivia Lews, Cynthia (half sisters)",Male,,,,,Single,Exposed to unidentified radiation,"Jay Faerber,  Mahmud A. Asrar","Dynamo 5  #1(January, 2007)",2007
The Stalk,Enriette [1],The Stalk,Stalk,,,Freelancers,Halvor (brother)  Halvor's wife(sister-in-law)  Halvor's six children (nieces & nephews),Female,,,Red,Blonde,Single,,"Brian K Vaughan,  Fiona Staples","Saga  #2(April, 2012)",2012
Stalker,Unknown,Stalker,,,Good,Katarina Godliffe,,Male,,,Blue,Black,Single,,"Garth Ennis,  Brandon Peterson","Medieval Spawn/Witchblade  #1(May, 1996)",1996
GQ,Stephen Connor,GQ,,Secret,Good,"Black Ops; formerly U.S. Air Force, IO, Black Razors","John Connor (father), Elizabeth Sworenson (grandmother)",Male,"6' 0""",185  lbs (84 kg),Brown,Brown,Single,,"Shon Bury,  Dan Norton","Black Ops  #1(January, 1996)",1996
Shire,Svetlana Grozny,Shire,,Secret,Good,"Black Ops; formerly KGB, IO",,Female,"5' 10""",135  lbs (61 kg),Blue,Blonde,Single,,"Shon Bury,  Dan Norton","Black Ops  #1(January, 1996)",1996
Synergy,Cynthia,Synergy,,Secret,Neutral,,"Captain Dynamo (father, deceased)  Chrysalis (mother)  Hector Chang, Spencer Bridges, Gage Reinhart (half brothers), Olivia “Livvie” Lews, Bridget Flynn (half sisters)",Female,,,Blue,Red,Single,"Daughter of Captain Dynamo and Chrysalis, his greatest foe.",,"Dynamo 5  #3(May, 2007)",2007
Tech Jacket,Zack Thompson,Tech Jacket,Zack Thompson,Secret,Good,Guardians of the Globe,Ed Thompson (father),Male,"5' 9""",123  lbs (56 kg),Blue,Brown,Single,,"Robert Kirkman,  E. J. Su","Tech Jacket  #1(October, 2002)",2002
Invincible,Terra Grayson,Invincible,Terra,Secret,Good,Viltrum Empire,"Argall (great-grandfather, deceased)  Nolan Grayson (paternal grandfather, deceased)  Deborah Grayson (paternal grandmother)  Adam Wilkins (adoptive maternal grandfather)  Betsy Wilkins (adoptive maternal grandmother)  Mark Grayson (father)  Samantha Eve Wilkins (mother)  Oliver Grayson (paternal half-uncle, deceased)  Haluma (paternal half-aunt by marriage) Two unnamed paternal half-cousins  Markus Murphy (younger paternal half brother)",Female,,,Blue,Black,Single,"3/4 Human, 1/4 Viltrumite Hybrid","Robert Kirkman,  Ryan Ottley","Invincible  #113(August 6, 2014)",2014
Bloodbow,Terrence O'Donnell,Bloodbow,Bloodbow; BB,,,Stryke Force,,Male,,,,,,Human,,Unknown,
Terry Fitzgerald,Terry Fitzgerald,,,Secret,Good,Central Intelligence Agency,"Wanda Blake (wife),Cyan Fitzgerald (daughter)",Male,,,Brown,Black,Married,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Robot,Rudolph Conners,Robot,"Rudy, Rex, Robot",Secret,Bad,Guardians of the GlobeTeen Team,,Male,"5' 11""",215  lbs (98 kg),Green,Red,Single,,"Robert Kirkman,  Cory Walker","Invincible  #2(February, 2003)",2003
Battle Beast,Thokk,Battle Beast,Scourge of The Twin Galaxies[1],Public,Good,Machine Head (formerly)  Coalition of Planets,unnamed daughter,Male,"7' 6""",776  lbs (353 kg),Yellow,White,Single,,"Robert Kirkman,  Ryan Ottley","Invincible  #19(November, 2004)",2004
Fuji,Toshiro Misawa,Fuji,,Secret,Good,StormWatch,Yoshi Misawa (father),Male,"8' 2""",441  lbs (200 kg),Red,,Single,Comet Seedling,"Jim Lee,  Brandon Choi","StormWatch  #1(March, 1993)",1993
Bloodbow,Trace O'Donnell,Bloodbow,,Secret,Good,Stryke Force,,Male,"6' 2""",195  lbs (89 kg),Blue,White,Single,Cyborg,Marc Silvestri,"Cyberforce  #4(July, 1993)",1993
Tracy Lee Cobb,Tracy Lee Cobb,,,No Dual,Bad,,,Male,,,Brown,Blonde,Single,,"John Layman,  Rob Guillory","Chew  #1(June, 2009)",2009
Twitch Williams,Twitch Williams,,,Secret,Good,New York City Police Department,,Male,,,,Red,Married,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
Ordnance,Tyson Stone,Ordnance,,Secret,Good,"Weapon Zero; formerly U.S. Army, NASA","Lorelei (wife, deceased)",Male,"6' 4""",225  lbs (102 kg),Brown,Brown,Widower,Bonded with Batai armor,"Joe Benitez,  Marc Silvestri","Weapon Zero  #T-4(June, 1995)",1995
Navy,United States Navy,Navy,,,,,,,,,,,,America,,Unknown,
Una,Una,,,Public,Good,Witchblade,,Female,,,Brown,Brown,,,"Bart Sears,  Ron Marz","Switch  #1(October, 2015)",2015
Una,Una,,,Public,Good,Witchblade,,Female,,,Brown,Brown,,,"Bart Sears,  Ron Marz",Witchblade  #92,
Madman,Zane Townsend,Madman,Frank Einstein,,,,,Male,,,,,,,Mike Allred,Madman  #1,
Leviathan,Valaria,Leviathan,,Secret,Good,Weapon Zero,,Female,"4' 3"" (in human form); 10' (as Leviathan)",75  lbs (34 kg) (in human form); 800 lbs. (363 kg) (as Leviathan),Green(in human form); Yellow (as Leviathan),"Red, (in human form); Bald (as Leviathan)",Single,Mutated by T'srri,"Joe Benitez,  Marc Silvestri","Weapon Zero  #T-3(August, 1995)",1995
Tag,Ventura Valentina Vlasco,Tag,,Secret,Good,Bloodstrike,Unnamed Mother,Female,,,Silver,White,Single,Nu-Gene activated by Project: Born Again,,"Bloodstrike  #26(March, 2012)",2012
Overlord,Unknown,Overlord,,,,,,Male,5’ 9”,160  lbs (73 kg),Brown,Brown,Divorced,,Erik Larsen,"Savage Dragon  #12(August, 1994)",1994
Flint,Victoria Ngengi,Flint,,,,StormWatchUnited Nations,Benito Santini (husband),Female,,,,Black,Married,,"Jeff Mariotte,  Ron Lim","StormWatch  #28(September, 1995)",1995
Brainwave,Walter Sampson,Brainwave,,Secret,Bad,formrerly Union of Justice,"Sheldon, (brother, deceased); Sunny (wife, deceased);  Jules (son); Unnamed Son; Unnamed daughter; Raikou (illegitimate daughter);",Male,,,,White,Widower,,"Mark Millar,  Wilfredo Torres","Jupiter's Legacy  #1(April, 2013)",2013
Wanda Blake,Wanda Blake,,,Secret,Good,Central Intelligence Agency,"Terry Fitzgerald (husband),Cyan Fitzgerald (daughter)",Female,,,Brown,Black,Married,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 1,
War Woman,Unknown,War Woman,War Woman II,,Bad,The Order,,Female,,,Green,Auburn,,Humans,"Robert Kirkman,  Benito Cereno,  Ransom Getty","Invincible  #7(December, 2003)",2003
White,Whitney Samsung,White,Whitney Samson,Secret,Good,,"unnamed father (deceased), Samsung (full name unrevealed, uncle)",Female,,,Blue,White,Single,,"Art Thibert,  Pamela Thibert",Extreme #0,
Wolf,Sotuknang,Wolf,,Secret,Good,,"Cheveyo (father, deceased)",Male,,,,Black,Single,,"Jonathan Hickman,  Nick Dragotta","East of West  #1(March, 2013)",2013
Zig-Zag,X'ing X'iang,Zig-Zag,,Public,Good,,,Female,,,,Black,Single,,"Chuck Dixon,  Chris Warner","Team 7 - Objective: Hell  #2(June, 1995)",1995
Spartan,Yohn Kohl,Spartan,"John Colt, Hadrian-7, Jack Marlowe, Metavac, Goran Vang",Secret,Good,"WildC.A.T.s, Halo Corporation; formerly Team One, StormWatch",Nikolas Kamarov (son),Male,"6' 6""",240  lbs (109 kg),Green,Red,Single,Kherubim downloaded into android body,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Yuri Gagarin,Yuri Gagarin,,,Public,Neutral,,,Male,,,Brown,Brown,,,,"The Manhattan Projects  #6(September, 2012)",2012
Invincible,Zandale Randolph,Invincible,"Bulletproof, Invincible",Secret,Neutral,Guardians of the Globe,"Mr. Randolph (father, deceased), Harriet Randolph (mother, deceased), Tyrone Randolph (twin brother, deceased)",Male,"6' 0""",210  lbs (95 kg),Brown,Black,Single,,"Robert Kirkman,  Ryan Ottley","Invincible  #9(February, 2004)",2004
Madman,Zane Townsend (birth)Frank Einstein (legal),Madman,,Secret,Good,Atomics,,Male,,,,,Dating,,Mike Allred,Madman  #1,
Zealot,Lady Zannah,Zealot,"Lady Zannah, Lucy Blaze, Constance, White Ghost",Secret,Good,"WildC.A.T.s; formerly Team One, Wildcore, Coda","Harmony (mother, deceased), Kenesha (daughter), Nikolas Kamarov (son)",Female,"6' 0""",120  lbs (55 kg),Blue,White,Single,Kherubim,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
